From He is Coming Official Wiki
Namespaces
Page
Discussion
More
More
Page actions
Read
View source
History
This page lists items that grant a **Base Attack** value. Base Attack is the flat attack shown in an item's stats; temporary buffs or conditional gains are not part of base stats.
Related effects that set, scale, or convert your attack include:
Prime Form — double attack while health is full
Battle Axe — while the enemy has armor, double your attack
Granite Hammer — on hit: convert armor to attack
Wave Breaker — scales with negative base attack
Rusty Sword — First Turn: Give acid equal to your attack on hit
Contents
1 Standard items
1.1 Positive Base Attack
1.2 Negative Base Attack
2 Weapons
Standard items
Positive Base Attack
 | Item
 | Rarity
 | Stats
 | Effect
 | Region
 | Lightning Bottle
 | Rare 
 | 1
 2
 | Battle Start: Stun yourself for 1 turn
 | Swampland 
 | Poisonous Mushroom
 | Rare 
 | 2
 | Turn Start: Gain 1 poison
 | Swampland 
 | Forge Gauntlet
 | Rare 
 | 1
 | Battle Start: Give the enemy 5 armor
 | Swampland 
 | Elderwood Necklace
 | Heroic 
 | 1
 1
 1
 | -
 | Woodland 
 | Ruby Crown
 | Common 
 | 1 / 2 / 4
 -1 / -2 / -4
 | -
 | Woodland 
 | Lightning Elixir
 | Rare 
 |  3
 4
 | Battle Start: Stun yourself for 2 turns
 | Swampland
 | Helmet of Envy
 | Cursed 
 | 3
 | Battle Start: Double the enemy's attack
 | Swampland
Negative Base Attack
 | Item
 | Rarity
 | Stats
 | Effect
 | Region
 | Blackbriar Armor
 | Heroic 
 | -1
 | Whenever you take damage, gain 2 thorns
 | Woodland 
 | Emerald Crown
 | Common 
 | -1 / -2 / -4
 8 / 16 / 32
 | -
 | Woodland 
 | Holy Tome
 | Common 
 | -1 / -2 / -4
 | Countdown 6: Gain 3 attack — at Gold: 6 , at Diamond: 12
 | Swampland 
 | Holy Shield
 | Common 
 | -1 / -2 / -4
 6 / 12 / 24
 -1 / -2 / -4
 | -
 | Swampland 
 | Thunder Cloud
 | Heroic 
 | -1
 | Wounded: Stun the enemy for 3 turns
 | Swampland 
 | Weaver Armor
 | Heroic 
 | -2
 | Battle Start: If you have 0 base armor, gain armor equal to current health
 | Swampland 
Cauldron 
 | Item
 | Rarity
 | Stats
 | Effect
 | Region
 | Cherry Blade
 | Grilling Skewer
 | Cherry Bomb
 | 3
 | Battle Start & Exposed: Deal 4 damage
 | Deathcap Bow
 | Grilling Skewer
 | Poisonous Mushroom
 | 3
 | Battle Start: Gain 3 poison. Turn Start: If you have poison. Gain 1 additional strike
 | Ham Bat
 | Redwood Roast
 | Grilling Skewer
 |  3
 5
 | Battle Start: Gain 2 additional strike
 | Silverscale Swordfish
 | Grilling Skewer
 | Silverscale Fish
 | 2
 | Battle Start: Gain 1 additional strike. First Turn: Give the enemy 1 riptide on hit
 | Lemontree Branch
 | Grilling Skewer
 | Sour Lemon
 |  2
 4
 | On Hit: Spend 2 speed and gain 1 additional strike on your next turn
 | Blackbriar Bow
 | Grilling Skewer
 | Spiny Chestnut
 | 4
 | Can't Strike Turn Start: Gain thorns equal to your attack
 | Rocksalt Sword
 | Grilling Skewer
 | Stone Steak
 |  2
 6
 | Turn Start: If your health is full, gain 1 additional strike
 | Broken Winebottle
 | Grilling Skewer
 | Vampiric Wine
 | 2
 | Wounded: On your next turn, Keep striking the enemy until they're wounded
 | Honey-glazed Shroom
 | Honeycomb
 | Poisonous Mushroom
 | 4
 | Turn Start: Give the enemy 2 poison
 | Moldy Meat
 | Poisonous Mushroom
 | Redwood Roast
 |  5
 -5
 | -
 | Marble Mushroom
 | Stone Steak
 | Poisonous Mushroom
 |  4
 6
 | Battle Start: Gain 3 poison
 | Poisonous Lemon
 | Poisonous Mushroom
 | Sour Lemon
 |  3
 4
 | Battle Start: Gain 1 acid and 5 poison
 | Melonvine Whip
 | Grilling Skewer
 | Clearspring Watermelon
 | 3
 | On Hit: Decrease 1 random status effect
 | Bitter Melon
 | Clearspring Watermelon
 | Poisonous Mushroom
 | 3
 | Turn Start: Convert 1 stack of another status effect to 1 poison
Weapons
 | Weapon
 | Rarity
 | Stats
 | Effect
 | Region
 | Ironstone Greatsword
 | Common 
 | 4
 -2
 | -
 | Woodland 
 | Razorthorn Spear
 | Common 
 | 1
 | On Hit: Gain 2 thorns
 | Woodland 
 | Redwood Rod
 | Common 
 | 2
 4
 | -
 | Woodland 
 | Spearshield Lance
 | Common 
 | 1
 6
 | -
 | Woodland 
 | Woodcutter's Axe
 | Common 
 | 1
 | Gain 2 attack for each empty equipment slot
 | Woodland 
 | Boom Stick
 | Common 
 | 2
 | On Hit: Deal 1 damage
 | Woodland 
 | Heart Drinker
 | Common 
 | 1
 | On Hit: Restore 1 health
 | Woodland 
 | Sword of the Hero
 | Common 
 | 3
 | -
 | Woodland 
 | Hidden Dagger
 | Common 
 | 2
 | Gets stronger for every new hidden dagger you find
 | Woodland 
 | Brittlebark Bow
 | Common 
 | 4
 | After 3 strikes: Lose 2 attack
 | Woodland 
 | Elderwood Staff
 | Common 
 | 1
 1
 1
 | -
 | Woodland 
 | Featherweight Blade
 | Common 
 | 2
 2
 | -
 | Woodland 
 | Blackbriar Blade
 | Rare 
 | 2
 | Whenever you would gain thorns, gain 1 attack instead
 | Woodland 
 | Bejeweled Blade
 | Rare 
 | 1
 | Gain 2 attack for each equipped jewelry item
 | Woodland 
 | Ironstone Bow
 | Rare 
 | 6
 1
 | On Hit: Lose 1 speed. If your speed is 0 or less, only strike every other turn
 | Woodland 
 | Lifeblood Spear
 | Rare 
 | 1
 | Whenever you restore 3 or more health, gain 1 attack
 | Woodland 
 | Explosive Sword
 | Rare 
 | 3
