
Swampland items can only be found in Swampland or Kingmaker games that use Swampland bundles. Swampland items come in 5 levels of rarity: Common, Rare, Heroic, Mythic, and Cursed. Items with Cursed rarity can only be obtained from a Crone.
Swampland items may inflict the following status effects on either enemies or the player:
- [Icon acid.png] Acid removes armor equal to acid at the start of the turn
- [Icon poison.png] Poison deals damage equal to the amount of poison at turn start if you have no armor and removes 1 poison stack at the start of the turn
- [Icon regen.png] Regeneration restores health equal to the amount of regeneration at turn end and removes 1 regeneration at the end of the turn
- [Icon riptide.png] Riptide deals 5 damage at the end of the turn and removes 1 riptide at the end of the turn
- [Icon stun.png] Stun skips the attack and removes 1 stun at the end of the turn
- [Icon purity.png] Purity gives 1 attack per stack and restores 3 health when removed
## Contents
- 1 Weapons
- 2 Items
- 2.1 Tomes
- 2.2 Elixirs
- 2.3 Food
- 2.4 Food Combined
## Weapons
The player can only have one weapon. Choosing another weapon will destroy the existing one.
 | Weapon
 | Rarity
 | Stats
 | Effect
 | Region
 | [Champion's Blade.png] Champion's Blade
 | Common [Rarity common.png]
 | [Icon attack.png] 6
 | -
 | Swampland [Banner swamp red.png]
 | [Forge Hammer.png] Forge Hammer
 | Common [Rarity common.png]
 | [Icon attack.png] 4
 | On Hit: Give the enemy 2 armor
 | Swampland [Banner swamp yellow.png]
 | [Fungal Rapier.png] Fungal Rapier
 | Common [Rarity common.png]
 | [Icon attack.png] 3
 | Battle Start: Gain 1 poison
 | Swampland [Banner swamp blue.png]
 | [Gale Staff.png] Gale Staff
 | Common [Rarity common.png]
 | [Icon attack.png] 2
[Icon speed.png] 6
 | On Hit: Lose 1 speed
 | Swampland [Banner swamp blue.png]
 | [Grilling Skewer.png] Grilling Skewer
 | Common [Rarity common.png]
 | [Icon attack.png] 1
 | Battle Start: Gain 1 additional strike
 | Swampland [Banner swamp yellow.png]
 | [Ironstone Spear.png] Ironstone Spear
 | Common [Rarity common.png]
 | [Icon attack.png] 2
 | While you have armor, temporarily gain 2 attack
 | Swampland [Banner swamp yellow.png]
 | [Knight's Blade.png] Knight's Blade
 | Common [Rarity common.png]
 | [Icon attack.png] 4
 | Upgrades after you defeat the next boss
 | Swampland [Banner swamp red.png]
 | [Liferoot Staff.png] Liferoot Staff
 | Common [Rarity common.png]
 | [Icon attack.png] 2
 | Wounded: Gain 3 regeneration
 | Swampland [Banner swamp red.png]
 | [Marble Sword.png] Marble Sword
 | Common [Rarity common.png]
 | [Icon attack.png] 1
[Icon armor.png] 2
 | Exposed: Gain 3 attack
 | Swampland [Banner swamp yellow.png]
 | [Pacifist Staff.png] Pacifist Staff
 | Common [Rarity common.png]
 | [Icon attack.png] 0
 | On Hit: Gain 1 armor and restore 1 health
 | Swampland [Banner swamp blue.png]
 | [Silverscale Dagger.png] Silverscale Dagger
 | Common [Rarity common.png]
 | [Icon attack.png] 2
 | Battle Start: Give the enemy 1 riptide
 | Swampland [Banner swamp red.png]
 | [Slime Sword.png] Slime Sword
 | Common [Rarity common.png]
 | [Icon attack.png] 2
 | Battle Start: Give yourself and the enemy 3 acid
 | Swampland [Banner swamp blue.png]
 | [Squire's Blade.png] Squire's Blade
 | Common [Rarity common.png]
 | [Icon attack.png] 2
 | Upgrades after you defeat the next boss
 | Swampland [Banner swamp red.png]
 | [Stormcloud Spear.png] Stormcloud Spear
 | Common [Rarity common.png]
 | [Icon attack.png] 2
 | Every 5 strikes, stun the enemy for 2 turns
 | Swampland [Banner swamp blue.png]
 | [Arcane Wand.png] Arcane Wand
 | Rare [Rarity rare.png]
 | [Icon attack.png] 0
 | Can't attack. Turn Start: Deal 2 damage. Increase the damage by 1 for each tome equipped
 | Swampland [Banner swamp yellow.png]
 | [Basilisk Fang.png] Basilisk Fang
 | Rare [Rarity rare.png]
 | [Icon attack.png] 3
 | On Hit: Decrease your poison by 2 and give it to the enemy
 | Swampland [Banner swamp blue.png]
 | [Bubblegloop Staff.png] Bubblegloop Staff
 | Rare [Rarity rare.png]
 | [Icon attack.png] 0
 | Can't strike. Turn Start: Spend 1 speed to give the enemy 2 acid and 2 poison
 | Swampland [Banner swamp yellow.png]
 | [Granite Axe.png] Granite Axe
 | Rare [Rarity rare.png]
 | [Icon attack.png] 4
 | On Hit: Lose 2 health and gain 4 armor
 | Swampland [Banner swamp blue.png]
 | [Liferoot Hammer.png] Liferoot Hammer
 | Rare [Rarity rare.png]
 | [Icon attack.png] 3
 | On Hit: If your health is full, spend your regeneration to gain 3 times that amount of armor
 | Swampland [Banner swamp red.png]
 | [Lightning Rod.png] Lightning Rod
 | Rare [Rarity rare.png]
 | [Icon attack.png] 2
 | Turn Start: If you're stunned, gain 3 attack
 | Swampland [Banner swamp blue.png]
 | [Lightning Whip.png] Lightning Whip
 | Rare [Rarity rare.png]
 | [Icon attack.png] 3
 | Turn Start: If the enemy is stunned, gain 1 additional strike
 | Swampland [Banner swamp yellow.png]
 | [Ring Blades.png] Ring Blades
 | Rare [Rarity rare.png]
 | [Icon attack.png] 1
 | Battle Start: Steal 1 attack from the enemy
 | Swampland [Banner swamp red.png]
 | [Rusty Sword.png] Rusty Sword
 | Rare [Rarity rare.png]
 | [Icon attack.png] 2
 | First Turn: Give acid equal to your attack on hit
 | Swampland [Banner swamp yellow.png]
 | [Sanguine Scepter.png] Sanguine Scepter
 | Rare [Rarity rare.png]
 | [Icon attack.png] 1
 | Healing is doubled
 | Swampland [Banner swamp blue.png]
 | [Wave Breaker.png] Wave Breaker
 | Rare [Rarity rare.png]
 | [Icon attack.png] -2
